organization_name,lane,org_type,address,city,distance_miles,contact_name,role_target,email,phone,source,verification_status
Independence High School,School,school,850 10th Avenue,New York,7.86,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Saint Walburgas Academy,School,school,630 Riverside Drive,,7.86,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
New Heights Middle School MS 722,School,school,790 East New York Avenue,,7.86,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Anna Silver School,School,school,166 Essex Street,New York,7.86,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Bethel Seventh Day Adventist School,School,school,,,7.87,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Mount Sinai Union Square,Medical,clinic,10 Union Square East,,7.87,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Mount Sinai Urgent Care Center,Medical,clinic,10 Union Square East,,7.87,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Montessori Flatiron,School,school,5 West 22nd Street,,7.87,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Hamza School,School,school,,,7.88,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 4,School,school,,,7.88,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Friends of Crown Heights Educational Center,School,kindergarten,671 Prospect Place,,7.88,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
CityMD,Medical,clinic,37 West 23rd Street,New York,7.88,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Grace Agard Harewood Center,Support Organization,social_facility,966 Fulton Street,Brooklyn,7.88,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
ELK Medical,Medical,clinic,,,7.88,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
West End Secondary School,School,school,227 West 61st Street,New York,7.88,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 111 Adolph S. Ochs,School,school,,,7.88,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Lower East Side Preparatory High School,School,school,145 Stanton Street,New York,7.88,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
St. Mark's Day School,School,school,1346 President Street,,7.88,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Holy Cross School,School,school,332 West 43rd Street,New York,7.88,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
High School of Graphic Communication Arts,School,school,439 West 49th Street,New York,7.88,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Manhattan School for Career Development,School,school,113 East 4th Street,New York,7.88,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Middle School 144,School,school,2545 Gunther Avenue,Bronx,7.88,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Urban Assembly School For Wildlife Conservation,School,school,,,7.89,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Middle School 45,School,school,2502 Lorillard Place,,7.89,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Estelle R. Newman Center,Medical,clinic,250 West 64th Street,New York,7.89,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Manhattan Children’s Program,School,school,80 West End Avenue,New York,7.89,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Academy For Language And Technology,School,school,,,7.9,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Saint Simons School,School,school,2195 Valentine Avenue,,7.9,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Saint Lucy School,School,school,830 Mace Avenue,,7.9,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Middle School 135,School,school,2441 Wallace Avenue,,7.9,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 306,School,school,,,7.9,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Junior High School 82,School,school,,,7.91,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Fulton Street Community Fridge,Support Organization,social_facility,,,7.91,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Joan H. and Preston Robert Tisch Center,Medical,clinic,,,7.91,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Boys & Girls Club,Support Organization,social_facility,,,7.91,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Star A Kidz,School,kindergarten,345 West 42nd Street,,7.91,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
MedRite Urgent Care,Medical,clinic,,,7.91,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Kingsbrook Jewish Medical Center,Medical,hospital,585 Schenectady Avenue,Brooklyn,7.91,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 11,School,school,,,7.91,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Intermediate School X303 Leadership and Community Service,School,school,,,7.92,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
CityMD,Medical,clinic,345 West 42nd Street,New York,7.92,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 186X,School,school,,,7.92,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Middle School 331,School,school,,,7.92,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Elements Preschool,School,kindergarten,,,7.92,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Rutland Nursing Home,Support Organization,social_facility,,Brooklyn,7.93,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
First Response Urgent Care & Medical Center,Medical,clinic,979 Fulton Street,,7.93,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Families of the Wrongfully Convicted,Support Organization,social_facility,634 Classon Avenue,,7.93,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Ronald P. Stanton Campus,School,school,,,7.93,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Grace Church School,School,school,86 4th Avenue,New York,7.94,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Interfaith Medical Center,Medical,clinic,880 Bergen Street,,7.94,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Manhattan Village Academy,School,school,,,7.94,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Dutch Broadway Elementary School,School,school,1880 Dutch Broadway,Elmont,7.94,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 20,School,school,,,7.94,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Intermediate School 90,School,school,,,7.94,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
La Salle Academy,School,school,,,7.94,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Machon Chana,School,school,,,7.94,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 160,School,school,,,7.95,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 8,School,school,,,7.95,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
CityMD,Medical,clinic,138 Delancey Street,,7.95,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Grace Church School,School,school,,,7.95,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
University Neighborhood High School,School,school,,,7.95,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Elite Early Childhood Learning Center,School,kindergarten,527 Eastern Parkway,,7.96,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Heart Vein NYC,Medical,doctors,,,7.96,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
International Wine Center (IWC),School,school,350 7th Avenue,,7.96,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Playto,School,kindergarten,,,7.96,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Global School Brooklyn,School,school,760 Sterling Place,,7.96,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Phillips Family Health Center,Medical,doctors,,,7.97,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Baker Health,Medical,clinic,21 West End Avenue,New York,7.97,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Bright Horizons,School,kindergarten,151 Clinton Street,,7.97,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Metro Urgicare,Medical,clinic,,,7.97,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
IS 254,School,school,,,7.97,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
P.S. 181Q Brookfield,School,school,,,7.97,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Belmont Preparatory High School,School,school,,,7.98,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Saint Rose of Lima School,School,school,,,7.98,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Knowledge And Power Preparatory International High School,School,school,,,7.98,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
City MD,Medical,clinic,330 7th Avenue,,7.98,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
The Riverside School for Makers and Artists,School,school,300 West 61st Street,New York,7.98,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Hillside Grade School,School,school,150 West Maple Drive,New Hyde Park,7.98,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Brooklyn Adult & Teen Challenge,Support Organization,social_facility,416 Clinton Avenue,,7.98,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Saint Vincent de Paul School,School,school,,,7.99,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Theodore Roosevelt High School,School,school,,,7.99,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Bronx High School of Law and Community Service,School,school,,,7.99,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Fordham High School of Arts,School,school,,,7.99,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Start Treatment & Recovery Centers,Medical,clinic,937 Fulton Street,Brooklyn,7.99,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
The Clinton School,School,school,10 East 15th Street,,7.99,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Fordham Leadership Academy,School,school,,,8.0,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Omega,Medical,clinic,,,8.0,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Saint Mary's High School,School,school,,,8.0,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Bishop Loughlin Memorial High School,School,school,,,8.0,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Former Site of Plandome Road School,School,school,,,8.01,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Blossom Home Care,Support Organization,social_facility,846 Nostrand Avenue,,8.01,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Grace Church School,School,school,46 Cooper Square,,8.01,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Alden Terrace School,School,school,1835 Central Avenue,Valley Stream,8.01,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
The Actors Studio,School,school,432 West 44th Street,New York,8.01,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Junior High School 56,School,school,,,8.01,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
CityMD,Medical,clinic,5 Pennsylvania Plaza,,8.02,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Acorn Community High School,School,school,561 Grand Avenue,,8.02,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Exceed Lower School,School,school,,,8.02,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Mount Sinai Doctors,Medical,clinic,104 Delancey Street,New York,8.02,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Taylor Business Institute,School,school,,,8.03,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Gotham Professional Arts Academy,School,school,561 Grand Avenue,,8.03,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Brooklyn Arts & Science Elementary School,School,school,,,8.03,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
UA3 Community First Food Pantry,Support Organization,social_facility,384 Grand Street,New York,8.03,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Clara H. Carlson School,School,school,235 Belmont Boulevard,Elmont,8.03,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 184m,School,school,Cherry Street,New York,8.03,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Crown Heights Urgent Care,Medical,clinic,555 Lefferts Avenue,,8.04,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Century Medical & Dental Center,Medical,clinic,827 11th Avenue,New York,8.04,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Junior High School 113,School,school,300 Adelphi Street,,8.04,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Achievement First Endeavor Elementary,School,school,510 Waverly Avenue,,8.04,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Renewal on the Bowery,Support Organization,social_facility,8 East 3rd Street,,8.04,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Holy Spirit School,School,school,,,8.05,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Gotesman Medical PC,Medical,doctors,555 Lefferts Avenue,,8.05,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Discovery PitStop,School,kindergarten,467 Vanderbilt Avenue,,8.05,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
South Shore Family Medical Assoc PC,Medical,doctors,787 West Merrick Road,Valley Stream,8.05,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Walk In Gyn Care,Medical,clinic,,,8.05,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
"Bishop Orris G. Walker, Junior Health Care Center",Medical,clinic,528 Prospect Place,Brooklyn,8.05,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Sunrise Medical Group,Medical,clinic,,,8.06,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Mount Sinai,Medical,hospital,,,8.06,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Kingsboro Psychiatric Center,Medical,hospital,681 Clarkson Avenue,Brooklyn,8.06,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
"NYC Health + Hospitals/Gotham Health, Cumberland",Medical,clinic,100 North Portland Avenue,Brooklyn,8.06,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Saint Mary's Elementary School,School,school,,,8.07,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Park West Educational Campus,School,school,525 West 50th Street,New York,8.07,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
J.O.Y. Center,Support Organization,social_facility,213 Eldridge Street,,8.07,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Downtown Brooklyn Nursing and Rehabilitation Center,Support Organization,social_facility,520 Prospect Place,Brooklyn,8.08,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 307,School,school,209 York Street,,8.08,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
BRC,Support Organization,social_facility,315 Bowery,,8.09,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Whitman Ingersoll Farragut Health Center,Medical,clinic,297 Myrtle Avenue,Brooklyn,8.09,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Dr. Nabeel Chaudhary,Medical,clinic,55 West 17th Street,New York,8.09,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Dr. Shawn Khodadadian,Medical,clinic,55 West 17th Street,New York,8.09,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Dr. Susan Bard,Medical,clinic,55 West 17th Street,New York,8.09,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Dr. Mohammad Rimawi,Medical,clinic,55 West 17th Street,New York,8.09,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Multi Speciality Medical Care Center,Medical,clinic,2336 Grand Concourse,,8.09,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Clear MD,Medical,clinic,,,8.09,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Manhattan Bridges High School,School,school,,,8.1,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
New Design High School,School,school,,,8.1,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Seward Park High School,School,school,,,8.1,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
High School for Dual Language and Asian Studies,School,school,,,8.1,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Dr. Fernando Mariz,Medical,clinic,55 West 17th Street,New York,8.1,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
NPower,Support Organization,social_facility,,,8.1,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
CityMD,Medical,clinic,3 Flushing Avenue,Brooklyn,8.1,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Xavier High School,School,school,30 West 16th Street,,8.1,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Gouverneur Health Medical Center,Medical,hospital,227 Madison Street,New York,8.1,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 67,School,school,51 Saint Edwards Street,Brooklyn,8.1,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 128,School,school,,,8.11,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Yeshiva Or Chadash,School,school,,,8.11,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 121,School,school,2750 Throop Avenue,,8.11,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
The Sixth Avenue Elementary School - PS340,School,school,64 West 17th Street,New York,8.11,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
CityMD,Medical,clinic,14 West 14th Street,,8.11,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Community Roots Charter School,School,school,51 Saint Edwards Street,Brooklyn,8.11,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
New Hyde Park Dialysis Center,Medical,clinic,1574 Hillside Avenue,,8.11,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Hope City Empowerment Center,Support Organization,social_facility,,,8.11,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
DaVita Dialysis,Medical,clinic,,,8.11,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Maimonides Doctors Clinton Hill Pavilion,Medical,clinic,815 Atlantic Avenue,,8.11,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Brooklyn Eye Center,Medical,doctor,1530 Bedford Avenue,,8.11,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
David L. Podell House,Support Organization,social_facility,,,8.11,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 109,School,school,1771 Popham Avenue,,8.12,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Northwell Health-GoHealth Urgent Care,Medical,clinic,41 East 8th Street,,8.12,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Doral Health & Wellness,Medical,clinic,391 Eastern Parkway,,8.12,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
55 Greene Avenue Medical Suites,Medical,clinic,55 Greene Avenue,,8.12,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Notre Dame School,School,school,,,8.12,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Washington Avenue Elementary School,School,school,,,8.12,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
PhotoManhattan,School,school,51 West 15th Street,,8.13,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
One Brooklyn Health,Medical,clinic,391 Eastern Parkway,Brooklyn,8.13,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
New Hyde Park Podiatry,Medical,doctors,,,8.13,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Advanced Headache Center,Medical,clinic,41 5th Avenue,,8.13,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Doctor Susan Smith McKinney Nursing and Rehabilitation Center,Support Organization,social_facility,594 Albany Avenue,Brooklyn,8.13,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Covenant House New York,Support Organization,social_facility,460 West 41st Street,New York,8.13,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Iris and B Gerald Cantor Film Center,School,school,East 8th Street,,8.14,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 51,School,school,,,8.14,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Plant-Based Community Fridge,Support Organization,social_facility,,,8.14,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Dr. Amr Hosny,Medical,doctors,41 5th Avenue,New York,8.14,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Vein Care Center,Medical,doctors,41 5th Avenue,New York,8.14,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
New Carlton Rehabilitation & Nursing Center,Support Organization,social_facility,405 Carlton Avenue,,8.14,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Brooklyn Technical High School Athletic Field,School,school,510 Clermont Avenue,Brooklyn,8.14,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Canarsie High School,School,school,,,8.14,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
High School of Fashion Industries,School,school,,,8.15,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Morgan Stanley Children's Hospital,Medical,hospital,3959 Broadway,New York,8.15,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Northwell Health-GoHealth Urgent Care,Medical,clinic,225 West 23rd Street,New York,8.16,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
M.S. 353 Elijah Stroud,School,school,,,8.16,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
The Outlook School,School,kindergarten,,,8.16,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
The Bristal Assisted Living at North Hills,Support Organization,social_facility,,,8.16,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Intermediate/High School 265,School,school,,,8.17,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Public School 287,School,school,,,8.17,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Metropolitan Gallery / Meeting Site,School,school,123 West 18th Street,,8.17,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Treasure Trunk Theatre,School,kindergarten,,,8.17,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
The Beacon School,School,school,522 West 44th Street,,8.17,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
The Bristal Assisted Living,Support Organization,social_facility,99 South Service Road,,8.17,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Planned Parenthood,Medical,clinic,26 Bleecker Street,,8.18,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Sage Center at Stonewall House,Support Organization,social_facility,271 Myrtle Avenue,,8.18,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
MedRite Urgent Care,Medical,clinic,521 West 42nd Street,New York,8.18,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Brooklyn School for Career Development,School,school,510 Clermont Avenue,,8.18,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Medrite Urgent Care,Medical,clinic,,,8.19,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Union Community Health Center,Medical,clinic,260 East 188th Street,Bronx,8.19,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Morris Heights Health Center,Medical,clinic,,,8.19,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Diabetic Foot Care,Medical,clinic,140-04 248th Street,,8.2,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
TAWCS,School,school,52 Bridge Street,,8.2,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
The Dumbo Gan,School,kindergarten,,,8.2,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Winston Prepatory School,School,school,122 West 17th Street,,8.2,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
Prospect Kids Academy,School,kindergarten,532 Saint Johns Place,,8.21,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
PS 9 Sarah Smith Garnet School,School,school,80 Underhill Avenue,Brooklyn,8.21,,School Social Worker / Intake Coordinator,,,OpenStreetMap (Overpass),raw_unverified
