organization_name,lane,org_type,address,city,phone,email,website,contact_name,role_target,distance_miles,source,verification_status
NYC Health + Hospitals/Gotham Health Judson,Medical,clinic,,,+1-212-925-5000,,https://www.nychealthandhospitals.org/locations/judson/,,Pediatric Intake Coordinator,8.34,OpenStreetMap (Overpass),raw_unverified
Cardiac Specialists of Brooklyn,Medical,doctors,,,,,,,Pediatric Intake Coordinator,8.35,OpenStreetMap (Overpass),raw_unverified
Brooklyn International High School,School,school,49 Flatbush Avenue Extension,,+1-718-643-9315,,http://www.mybihs.org,,School Social Worker,8.35,OpenStreetMap (Overpass),raw_unverified
Public School 33,School,school,281 9th Avenue,,,,,,School Social Worker,8.35,OpenStreetMap (Overpass),raw_unverified
City and Country School,School,school,146 West 13th Street,,,,,,School Social Worker,8.35,OpenStreetMap (Overpass),raw_unverified
Full Gospel Christian Academy,School,school,,,,,,,School Social Worker,8.35,OpenStreetMap (Overpass),raw_unverified
Public School 11,School,school,,,,,,,School Social Worker,8.36,OpenStreetMap (Overpass),raw_unverified
Public School 210,School,school,,,,,,,School Social Worker,8.36,OpenStreetMap (Overpass),raw_unverified
Lenox Hill Radiology,Medical,clinic,4120 Broadway,,+1-212-772-3111,,https://www.radnet.com/lenox-hill-radiology/locations/doshi-diagnostic-imaging-services-washington-heights,,Pediatric Intake Coordinator,8.36,OpenStreetMap (Overpass),raw_unverified
Museum Heights Medical,Medical,doctors,,,+1-718-398-0093,,,,Pediatric Intake Coordinator,8.36,OpenStreetMap (Overpass),raw_unverified
Hanson Place Seventh-Day Adventist Elementary School,School,school,,,+1-718-625-3030,,https://www.hpsdaschool.org,,School Social Worker,8.36,OpenStreetMap (Overpass),raw_unverified
Public School 41,School,school,116 West 11th Street,New York,,,https://www.ps41.org/,,School Social Worker,8.36,OpenStreetMap (Overpass),raw_unverified
Middle School 260,School,school,,,,,,,School Social Worker,8.37,OpenStreetMap (Overpass),raw_unverified
Brooklyn Independent Middle School,School,school,,,+1-646-930-1246,,https://www.bkindependent.org,,School Social Worker,8.37,OpenStreetMap (Overpass),raw_unverified
Manor Oaks William R. Bowie Elementary School,School,school,1950 Hillside Avenue,New Hyde Park,,,,,School Social Worker,8.37,OpenStreetMap (Overpass),raw_unverified
Public School 235,School,school,,,,,,,School Social Worker,8.37,OpenStreetMap (Overpass),raw_unverified
Hagop Kevorkian Center for Near Eastern Studies,School,school,,,,,https://as.nyu.edu,,School Social Worker,8.38,OpenStreetMap (Overpass),raw_unverified
P.S. 397 Foster-Laurie,School,school,490 Fenimore Street,,+1-718-774-5200,,https://www.fosterlaurie.org,,School Social Worker,8.38,OpenStreetMap (Overpass),raw_unverified
Canarsie Medical Health,Medical,doctors,135 Eastern Parkway,,+1-718-789-2600,,,,Pediatric Intake Coordinator,8.39,OpenStreetMap (Overpass),raw_unverified
"Eliot P. Schuster, M.D.",Medical,doctors,,,+1-718-857-2975,,,,Pediatric Intake Coordinator,8.39,OpenStreetMap (Overpass),raw_unverified
Franklin Medical Center,Medical,doctors,901 Franklin Avenue,,+1-718-771-9100,,,,Pediatric Intake Coordinator,8.39,OpenStreetMap (Overpass),raw_unverified
Precious Smiles,Medical,doctors,,,,,,,Pediatric Intake Coordinator,8.39,OpenStreetMap (Overpass),raw_unverified
Proxi Medical Urgent Care,Medical,clinic,,,+1-718-756-4000,,https://pmuc.nyc,,Pediatric Intake Coordinator,8.39,OpenStreetMap (Overpass),raw_unverified
Bedford Avenue Family Health Center,Medical,clinic,,,,,,,Pediatric Intake Coordinator,8.39,OpenStreetMap (Overpass),raw_unverified
Dr. Vashty Jean-Louis,Medical,doctor,,,+1-347-770-9900,,,,Pediatric Intake Coordinator,8.39,OpenStreetMap (Overpass),raw_unverified
Covert Avenue Elementary School,School,school,144 Covert Avenue,Elmont,,,,,School Social Worker,8.39,OpenStreetMap (Overpass),raw_unverified
Swan,School,kindergarten,90 Bowery,,+1-646-998-5786,,https://www.swan-nyc.org,,School Social Worker,8.4,OpenStreetMap (Overpass),raw_unverified
Excelsior Medical,Medical,clinic,,,,,,,Pediatric Intake Coordinator,8.4,OpenStreetMap (Overpass),raw_unverified
Sheldon Medical Care PC,Medical,clinic,2435 Jerome Avenue,,,,,,Pediatric Intake Coordinator,8.4,OpenStreetMap (Overpass),raw_unverified
Medrite Urgen Care,Medical,clinic,405 6th Avenue,,+1-212-576-1333,,https://medriteurgentcare.com/places/greenwich-nyc/,,Pediatric Intake Coordinator,8.4,OpenStreetMap (Overpass),raw_unverified
Bridges MS915,School,school,29 6th Avenue,,+1-718-875-1021,,https://www.ms915brooklyn.org,,School Social Worker,8.4,OpenStreetMap (Overpass),raw_unverified
Design Works High School,School,school,29 6th Avenue,,+1-929-489-3880,,,,School Social Worker,8.4,OpenStreetMap (Overpass),raw_unverified
Kings County Hospital Center,Medical,hospital,451 Clarkson Avenue,Brooklyn,+1-718-245-3131,,https://www.nychealthandhospitals.org/kingscounty/,,Pediatric Intake Coordinator,8.4,OpenStreetMap (Overpass),raw_unverified
Dr. Camile F. Cohen,Medical,doctor,,,+1-718-623-9122,,,,Pediatric Intake Coordinator,8.41,OpenStreetMap (Overpass),raw_unverified
Dr. Desmond Parkin,Medical,doctor,,,+1-718-623-9122,,,,Pediatric Intake Coordinator,8.41,OpenStreetMap (Overpass),raw_unverified
Montessori Day School of Brooklyn,School,kindergarten,237 Park Place,,+1 718 398 2322,,https://www.montessoridayschool.org,,School Social Worker,8.41,OpenStreetMap (Overpass),raw_unverified
Dr. Ann V. Arthur,Medical,doctor,,,+1-718-857-4099,,,,Pediatric Intake Coordinator,8.41,OpenStreetMap (Overpass),raw_unverified
NewYork-Presbyterian Medical Group Brooklyn,Medical,clinic,38 6th Avenue,Brooklyn,,,https://www.nyp.org/medicalgroups/brooklyn/locations/prospect-heights/38-6th-avenue,,Pediatric Intake Coordinator,8.41,OpenStreetMap (Overpass),raw_unverified
Parkway Medical & Surgical Care,Medical,doctors,115 Eastern Parkway,,+1-718-398-7288,,,,Pediatric Intake Coordinator,8.41,OpenStreetMap (Overpass),raw_unverified
"Eulysses N. Leid, MD",Medical,doctors,,,,,,,Pediatric Intake Coordinator,8.41,OpenStreetMap (Overpass),raw_unverified
CityMD,Medical,clinic,,,,,,,Pediatric Intake Coordinator,8.41,OpenStreetMap (Overpass),raw_unverified
Yeshiva University High School,School,school,2540 Amsterdam Avenue,,,,,,School Social Worker,8.41,OpenStreetMap (Overpass),raw_unverified
Lenox Health Greenwich Village,Medical,hospital,30 7th Avenue,New York,+1 646 665 6000,,https://www.northwell.edu/lenox-health-greenwich-village,,Pediatric Intake Coordinator,8.42,OpenStreetMap (Overpass),raw_unverified
CityMD,Medical,clinic,,,,,,,Pediatric Intake Coordinator,8.42,OpenStreetMap (Overpass),raw_unverified
Vivvi,School,kindergarten,55 Prospect Street,,+1-646-343-9889,,https://vivvi.com/locations/dumbo,,School Social Worker,8.42,OpenStreetMap (Overpass),raw_unverified
Wonderforest Nature Preschool,School,kindergarten,,,,,https://www.wonderforestpreschool.com,,School Social Worker,8.42,OpenStreetMap (Overpass),raw_unverified
One Medical: City Point Brooklyn,Medical,clinic,445 Gold Street,,,,https://www.onemedical.com/,,Pediatric Intake Coordinator,8.42,OpenStreetMap (Overpass),raw_unverified
Preschool of the Arts,School,kindergarten,207 Thompson Street,New York,+1-212-201-9212,,https://nycpreschool.org/preschool-locations/greenwich-village/,,School Social Worker,8.43,OpenStreetMap (Overpass),raw_unverified
Heart to Heart Adult Day Care,Support Organization,social_facility,223 Empire Boulevard,,+1-718-305-6200,,https://www.h2hadultdaycare.com,,Program Intake Coordinator,8.43,OpenStreetMap (Overpass),raw_unverified
Northeastern Adventist Academy,School,school,418 East 45th Street,Brooklyn,+1-718-693-5502,,https://myneabc.com,,School Social Worker,8.43,OpenStreetMap (Overpass),raw_unverified
Clara Barton High School,School,school,901 Classon Avenue,,,,,,School Social Worker,8.43,OpenStreetMap (Overpass),raw_unverified
MetroKids Preschool,School,kindergarten,46 Market Street,New York,,,,,School Social Worker,8.44,OpenStreetMap (Overpass),raw_unverified
Saint Pius X School,School,school,,,,,,,School Social Worker,8.44,OpenStreetMap (Overpass),raw_unverified
George Westinghouse Career and Technical Education High School,School,school,,,+1-718-625-6130,,https://westinghousehs.org,,School Social Worker,8.45,OpenStreetMap (Overpass),raw_unverified
North Star Academy M.S. 340,School,school,227 Sterling Place,Brooklyn,+1-718-857-5516,,https://www.ms340.org/,,School Social Worker,8.45,OpenStreetMap (Overpass),raw_unverified
HumanCare,Support Organization,social_facility,120 Mott Street,,+1-718-435-1100,,https://humancareny.com,,Program Intake Coordinator,8.46,OpenStreetMap (Overpass),raw_unverified
BATF Bergen Family Health Center,Medical,clinic,,,+1-718-622-2910,,,,Pediatric Intake Coordinator,8.46,OpenStreetMap (Overpass),raw_unverified
City Polytechnic High School,School,school,,,+1-718-875-1473,,https://citypolyhs.org,,School Social Worker,8.46,OpenStreetMap (Overpass),raw_unverified
Public School 189,School,school,2580 Amsterdam Avenue,,,,,,School Social Worker,8.46,OpenStreetMap (Overpass),raw_unverified
Metrokids Preschool,School,kindergarten,25 Market Street,New York,,,,,School Social Worker,8.46,OpenStreetMap (Overpass),raw_unverified
Yung Wing Elementary,School,school,40 Division Street,New York,,,https://ps124m.org,,School Social Worker,8.47,OpenStreetMap (Overpass),raw_unverified
Lower West Side Children's Center,School,school,,,,,,,School Social Worker,8.47,OpenStreetMap (Overpass),raw_unverified
Saint Joseph's Washington Place School,School,school,,,,,,,School Social Worker,8.47,OpenStreetMap (Overpass),raw_unverified
MS 915 Bridges,School,school,,,+1-718-875-1021,,https://www.ms915brooklyn.org,,School Social Worker,8.47,OpenStreetMap (Overpass),raw_unverified
BASIS Independent Brooklyn Lower,School,school,405 Gold Street,,+1-929-295-5124,,https://brooklyn.basisindependent.com,,School Social Worker,8.47,OpenStreetMap (Overpass),raw_unverified
Quest to Learn,School,school,351 West 18th Street,,,,,,School Social Worker,8.47,OpenStreetMap (Overpass),raw_unverified
New York City Museum School,School,school,333 West 17th Street,New York,+1-212-675-6206,,https://www.nycmuseumschool.org,,School Social Worker,8.48,OpenStreetMap (Overpass),raw_unverified
Dr. Dmitriy Bronfman,Medical,clinic,14 DeKalb Avenue,Brooklyn,+1-718-369-1900,info@brooklynabortionclinic.nyc,https://www.brooklynabortionclinic.nyc,,Pediatric Intake Coordinator,8.48,OpenStreetMap (Overpass),raw_unverified
Brooklyn LAB Charter School,School,school,240 Jay Street,,,,https://www.brooklynlaboratoryschool.org,,School Social Worker,8.48,OpenStreetMap (Overpass),raw_unverified
MedRite Urgent Care,Medical,clinic,68 Flatbush Avenue,,+1-718-395-9444,,https://medriteurgentcare.com/places/downtown-brooklyn-nyc/,,Pediatric Intake Coordinator,8.48,OpenStreetMap (Overpass),raw_unverified
CityMD Urgent Care,Medical,clinic,,New York,,,,,Pediatric Intake Coordinator,8.48,OpenStreetMap (Overpass),raw_unverified
New York City Laboratory School for Collaborative Studies,School,school,333 West 17th Street,New York,+1-212-691-6119,,https://www.nyclabschool.org,,School Social Worker,8.48,OpenStreetMap (Overpass),raw_unverified
New York City Laboratory Middle School for Collaborative Studies,School,school,333 West 17th Street,New York,+1-212-691-6119,,https://www.labmiddleschool.com,,School Social Worker,8.48,OpenStreetMap (Overpass),raw_unverified
Charles Evan Hughes High School,School,school,351 West 18th Street,,,,,,School Social Worker,8.48,OpenStreetMap (Overpass),raw_unverified
Nazareth Regional High School,School,school,,,,,,,School Social Worker,8.48,OpenStreetMap (Overpass),raw_unverified
"S I Rogers, MD",Medical,doctor,,,,,,,Pediatric Intake Coordinator,8.49,OpenStreetMap (Overpass),raw_unverified
"R B Spielman, MD",Medical,doctor,,,,,,,Pediatric Intake Coordinator,8.49,OpenStreetMap (Overpass),raw_unverified
Little Makers Studio,School,kindergarten,,,+1-646-722-6229,,https://www.little-makers-studio.com,,School Social Worker,8.49,OpenStreetMap (Overpass),raw_unverified
Tribeca Pediatrics,Medical,doctor,,,+1-718-838-9445,,https://www.tribecapediatrics.com/your-office/prospect-heights/,,Pediatric Intake Coordinator,8.49,OpenStreetMap (Overpass),raw_unverified
"Anukware K. Ketosugbo, MD, FACS",Medical,doctor,,,+1-718-622-1301,,,,Pediatric Intake Coordinator,8.49,OpenStreetMap (Overpass),raw_unverified
Cooper Podiatry,Medical,doctor,14 Nevins Street,,+1-718-744-7209,,,,Pediatric Intake Coordinator,8.49,OpenStreetMap (Overpass),raw_unverified
Pediatric Associates of NYC,Medical,doctor,,,,,,,Pediatric Intake Coordinator,8.49,OpenStreetMap (Overpass),raw_unverified
Community High School,School,school,250 Jay Street,,+1-917-893-3999,,https://communityhighschoolbk.org,,School Social Worker,8.49,OpenStreetMap (Overpass),raw_unverified
Discovery Kids,School,kindergarten,,,+1-347-736-6212,,https://www.bkdiscoverykids.com,,School Social Worker,8.49,OpenStreetMap (Overpass),raw_unverified
Wellness Center,Medical,doctors,,,,,,,Pediatric Intake Coordinator,8.49,OpenStreetMap (Overpass),raw_unverified
Shaw Avenue School,School,school,99 Shaw Avenue,Valley Stream,,,,,School Social Worker,8.49,OpenStreetMap (Overpass),raw_unverified
New Hyde Park Road Elementary School,School,school,300 New Hyde Park Road,New Hyde Park,,,,,School Social Worker,8.49,OpenStreetMap (Overpass),raw_unverified
Public School 115,School,school,1500 East 92nd Street,,,,,,School Social Worker,8.49,OpenStreetMap (Overpass),raw_unverified
Public School 46,School,school,279 East 196th Street,,,,,,School Social Worker,8.5,OpenStreetMap (Overpass),raw_unverified
CityMD,Medical,clinic,331 6th Avenue,,+1 212-219-2659,,https://www.citymd.com/urgent-care-locations/ny/new-york/west-village/069,,Pediatric Intake Coordinator,8.5,OpenStreetMap (Overpass),raw_unverified
Prince Center for the Visually Impaired,Medical,clinic,550 Merrick Road,,,,,,Pediatric Intake Coordinator,8.5,OpenStreetMap (Overpass),raw_unverified
"S. Danziger, M.D.",Medical,doctor,,,+1-718-638-3640,,,,Pediatric Intake Coordinator,8.5,OpenStreetMap (Overpass),raw_unverified
Park Slope Podiatry,Medical,doctor,,,+1-718-638-6387,,,,Pediatric Intake Coordinator,8.5,OpenStreetMap (Overpass),raw_unverified
Insight Comprehensive Medical PC,Medical,clinic,,,+1-646-609-6138,,,,Pediatric Intake Coordinator,8.5,OpenStreetMap (Overpass),raw_unverified
Community Healthcare Network,Medical,clinic,1167 Nostrand Avenue,Brooklyn,+1-718-778-0198,,https://www.chnnyc.org/crown-heights-health-center/,,Pediatric Intake Coordinator,8.5,OpenStreetMap (Overpass),raw_unverified
Northwell Health – LIJ Manhasset Ambulatory Pavilion,Medical,clinic,1554 Northern Boulevard,Manhasset,,,,,Pediatric Intake Coordinator,8.5,OpenStreetMap (Overpass),raw_unverified
University Hospital of Brooklyn,Medical,hospital,445 Lenox Road,Brooklyn,+1 718 270 1000,,https://www.downstate.edu/uhb/,,Pediatric Intake Coordinator,8.5,OpenStreetMap (Overpass),raw_unverified
Public School 132,School,school,185 Wadsworth Avenue,,,,,,School Social Worker,8.5,OpenStreetMap (Overpass),raw_unverified
Created By Kids,School,kindergarten,592 Pacific Street,,+1-718-857-5437,,https://createdbykidsnyc.com/,,School Social Worker,8.51,OpenStreetMap (Overpass),raw_unverified
"M. D'Alto, MD",Medical,doctor,,,,,,,Pediatric Intake Coordinator,8.51,OpenStreetMap (Overpass),raw_unverified
"S. Unterricht, MD",Medical,doctor,,,,,,,Pediatric Intake Coordinator,8.51,OpenStreetMap (Overpass),raw_unverified
Brooklyn Health Medical Alliance Urgent Care,Medical,clinic,514 Fulton Street,Brooklyn,+1-718-940-5000,,https://bkhealth.org/urgent-care/,,Pediatric Intake Coordinator,8.51,OpenStreetMap (Overpass),raw_unverified
Khalil Gibran International Academy,School,school,,,+1-718-237-2502,,http://www.khalilgibranhs.org,,School Social Worker,8.51,OpenStreetMap (Overpass),raw_unverified
Avenues,School,school,,,,,https://www.avenues.org/,,School Social Worker,8.51,OpenStreetMap (Overpass),raw_unverified
Callen Lorde Community Health Center,Medical,clinic,356 West 18th Street,New York,,,,,Pediatric Intake Coordinator,8.51,OpenStreetMap (Overpass),raw_unverified
Confucius Plaza Medical Offices,Medical,doctors,19 Bowery,,+1-212-431-4333,,,,Pediatric Intake Coordinator,8.52,OpenStreetMap (Overpass),raw_unverified
SUNY-Downstate School of Public Health,School,school,,,,,https://www.downstate.edu/publichealth/,,School Social Worker,8.52,OpenStreetMap (Overpass),raw_unverified
MSKCC Brooklyn Infusion Center,Medical,clinic,557 Atlantic Avenue,,,,,,Pediatric Intake Coordinator,8.52,OpenStreetMap (Overpass),raw_unverified
"P. Corley, MD",Medical,doctor,,,,,,,Pediatric Intake Coordinator,8.52,OpenStreetMap (Overpass),raw_unverified
AHRC,Support Organization,social_facility,,,,,https://www.ahrcnyc.org,,Program Intake Coordinator,8.52,OpenStreetMap (Overpass),raw_unverified
"Science, Language & Arts International School",School,school,,,+1-718-636-3836,,https://slaschool.org,,School Social Worker,8.52,OpenStreetMap (Overpass),raw_unverified
Clear Stream Avenue School,School,school,60 Clear Stream Avenue,Valley Stream,,,,,School Social Worker,8.52,OpenStreetMap (Overpass),raw_unverified
Prominis,Medical,clinic,37 5th Avenue,,+1-718-802-1110,,https://www.prominis.com/park-slope,,Pediatric Intake Coordinator,8.52,OpenStreetMap (Overpass),raw_unverified
Public School 130,School,school,,,,,,,School Social Worker,8.53,OpenStreetMap (Overpass),raw_unverified
"Kumar Shah, M.D.",Medical,doctor,,,,,,,Pediatric Intake Coordinator,8.53,OpenStreetMap (Overpass),raw_unverified
CityMD,Medical,clinic,288 Flatbush Avenue,,+1 718 656 1290,,,,Pediatric Intake Coordinator,8.53,OpenStreetMap (Overpass),raw_unverified
Allergy Asthma Care of Brooklyn,Medical,doctor,381 Flatbush Avenue,Brooklyn,+1-347-564-3211,,,,Pediatric Intake Coordinator,8.53,OpenStreetMap (Overpass),raw_unverified
Invictus Bakery,Support Organization,social_facility,,,,,https://www.weareinvictus.org,,Program Intake Coordinator,8.53,OpenStreetMap (Overpass),raw_unverified
Brooklyn Health Medical Alliance,Medical,clinic,14 Hanover Place,,+1-718-940-5050,,https://bkhealth.org/primary-care/,,Pediatric Intake Coordinator,8.53,OpenStreetMap (Overpass),raw_unverified
Early Childhood Center,School,kindergarten,,,+1-718-499-6208,,https://cbebk.org/early-childhood-center-preschool/,,School Social Worker,8.53,OpenStreetMap (Overpass),raw_unverified
Corlears School,School,school,324 West 15th Street,New York,+1-212-741-2800,,https://corlearsschool.org,,School Social Worker,8.53,OpenStreetMap (Overpass),raw_unverified
Public School K375 Jackie Robinson,School,school,,,+1-718-693-6655,,,,School Social Worker,8.54,OpenStreetMap (Overpass),raw_unverified
Isabella Geriatric Center,Support Organization,social_facility,515 Audubon Avenue,New York,+1 844 803 2683,,https://www.isabella.org/,,Program Intake Coordinator,8.54,OpenStreetMap (Overpass),raw_unverified
Bright Horizons,School,kindergarten,52 Water Street,Brooklyn,+1-332-255-8599,,https://child-care-preschool.brighthorizons.com/ny/brooklyn/dumbo,,School Social Worker,8.54,OpenStreetMap (Overpass),raw_unverified
JNJ Home Health Care,Support Organization,social_facility,,,+1-718-422-0010,,http://jnjhomehealthcareinc.com,,Program Intake Coordinator,8.54,OpenStreetMap (Overpass),raw_unverified
Media and Communications High School,School,school,,,,,,,School Social Worker,8.55,OpenStreetMap (Overpass),raw_unverified
K352 Ebbets Field Middle School,School,school,,,+1-718-941-5097,,https://www.schools.nyc.gov/schools/K352,,School Social Worker,8.55,OpenStreetMap (Overpass),raw_unverified
Masjid Al-Farooq Al-Aqusa Islamic School,School,school,554-552 Atlantic Avenue,,,,,,School Social Worker,8.55,OpenStreetMap (Overpass),raw_unverified
YWCA,Support Organization,social_facility,30 3rd Avenue,,+1-718-875-1190,,https://www.ywcabklyn.org/,,Program Intake Coordinator,8.55,OpenStreetMap (Overpass),raw_unverified
Little Red School House & Elisabeth Irwin High School,School,school,,,,,https://www.lrei.org/,,School Social Worker,8.55,OpenStreetMap (Overpass),raw_unverified
Public School 124,School,school,,,,,,,School Social Worker,8.56,OpenStreetMap (Overpass),raw_unverified
Law and Public Service High School,School,school,,,,,,,School Social Worker,8.56,OpenStreetMap (Overpass),raw_unverified
Exceed Upper School,School,school,,,+1-347-689-0200,,https://exploreschools.org/exceed-upper/,,School Social Worker,8.56,OpenStreetMap (Overpass),raw_unverified
Pure Pediatrics,Medical,doctor,60B Mott Street,,+1-212-796-2196,,,,Pediatric Intake Coordinator,8.56,OpenStreetMap (Overpass),raw_unverified
Brooklyn Prospect Downtown Elementary School,School,school,,,+1-718-722-7634,,https://www.brooklynprospect.org/our-schools/downtown-elementary/,,School Social Worker,8.56,OpenStreetMap (Overpass),raw_unverified
Academy of Mount Saint Ursula,School,school,330 Bedford Park Boulevard,Bronx,+1 718-364-5353,,https://www.amsu.org,,School Social Worker,8.56,OpenStreetMap (Overpass),raw_unverified
Bayard Street Obstetrics and Gynecology,Medical,clinic,68 Bayard Street,New York,+1 212 226-5530,,http://bayardstobgyn.com/,,Pediatric Intake Coordinator,8.57,OpenStreetMap (Overpass),raw_unverified
"Okyeniba Medical, PC: Samuel K. Mensah MD",Medical,doctors,58 East Kingsbridge Road,Bronx,+1 718-295-8243,,http://okyenibamedical.com,,Pediatric Intake Coordinator,8.57,OpenStreetMap (Overpass),raw_unverified
LaserAway,Medical,clinic,1595 Northern Boulevard,Manhasset,,,,,Pediatric Intake Coordinator,8.57,OpenStreetMap (Overpass),raw_unverified
Kiddie Science,School,kindergarten,,,,,https://www.kiddiescience.org,,School Social Worker,8.57,OpenStreetMap (Overpass),raw_unverified
Brooklyn Family Medicine,Medical,clinic,,,+1-718-778-0937,,,,Pediatric Intake Coordinator,8.57,OpenStreetMap (Overpass),raw_unverified
Greenwich House Preschool,School,school,,,,,,,School Social Worker,8.58,OpenStreetMap (Overpass),raw_unverified
Barrow Street Nursery School,School,school,,,,,,,School Social Worker,8.58,OpenStreetMap (Overpass),raw_unverified
District 13 Pre-K Center,School,kindergarten,25 Dock Street,,,,,,School Social Worker,8.58,OpenStreetMap (Overpass),raw_unverified
Pure OBGYN,Medical,doctor,225 Saint Johns Place,,+1 718 557 9739,,,,Pediatric Intake Coordinator,8.58,OpenStreetMap (Overpass),raw_unverified
St. Joseph School,School,school,1 Monroe Street,New York,+1-212-233-5152,,,,School Social Worker,8.58,OpenStreetMap (Overpass),raw_unverified
Downtown Eye Care,Medical,doctor,398 Bridge Street,,+1-718-865-8159,,,,Pediatric Intake Coordinator,8.58,OpenStreetMap (Overpass),raw_unverified
Mia Aesthetics,Medical,clinic,522 Atlantic Avenue,,+1-929-481-5510,,https://miaaesthetics.com/locations/nyc/,,Pediatric Intake Coordinator,8.58,OpenStreetMap (Overpass),raw_unverified
General Theological Seminary,School,school,,,,,,,School Social Worker,8.59,OpenStreetMap (Overpass),raw_unverified
Public School 23,School,school,,,,,,,School Social Worker,8.59,OpenStreetMap (Overpass),raw_unverified
Cooke Center Academy,School,school,60 MacDougal Street,New York,,,,,School Social Worker,8.59,OpenStreetMap (Overpass),raw_unverified
Mount Sinai Medical Center Chinatown,Medical,clinic,168 Centre Street,,+1-212-731-3610,,https://www.mountsinai.org/locations/msd-chinatown,,Pediatric Intake Coordinator,8.59,OpenStreetMap (Overpass),raw_unverified
Rendr,Medical,clinic,,,+1-646-854-3622,,https://rendrcare.com,,Pediatric Intake Coordinator,8.59,OpenStreetMap (Overpass),raw_unverified
Notre Dame School,School,school,,,,,,,School Social Worker,8.59,OpenStreetMap (Overpass),raw_unverified
The Nook,School,kindergarten,,,+1-917-300-8075,,https://www.thenookparkslope.com,,School Social Worker,8.59,OpenStreetMap (Overpass),raw_unverified
Saint Elizabeth School,School,school,,,,,,,School Social Worker,8.6,OpenStreetMap (Overpass),raw_unverified
Guardian Angel School,School,school,,,,,,,School Social Worker,8.6,OpenStreetMap (Overpass),raw_unverified
Lefferts Gardens Montessori,School,kindergarten,,,,,,,School Social Worker,8.6,OpenStreetMap (Overpass),raw_unverified
Regina Belkin,Medical,doctors,,,+1-718-701-4707,,,,Pediatric Intake Coordinator,8.6,OpenStreetMap (Overpass),raw_unverified
Bklyn Cardio,Medical,doctors,,,+1-718-237-4067,,https://www.bklyncardio.com,,Pediatric Intake Coordinator,8.6,OpenStreetMap (Overpass),raw_unverified
"Dr. Emil Baccash, MD",Medical,doctors,,,+1-646-202-2968,,,,Pediatric Intake Coordinator,8.6,OpenStreetMap (Overpass),raw_unverified
Atlantic Orthopaedics & Sports Medicine,Medical,doctors,489 Atlantic Avenue,,+1-718-489-1130,,https://www.atlanticsportsmed.com/,,Pediatric Intake Coordinator,8.6,OpenStreetMap (Overpass),raw_unverified
"A. Bamberger, MD",Medical,doctors,,,,,,,Pediatric Intake Coordinator,8.6,OpenStreetMap (Overpass),raw_unverified
Downing Street Playgroup,School,kindergarten,32 Carmine Street,New York,,,https://www.downingstreetplaygroup.org/,,School Social Worker,8.6,OpenStreetMap (Overpass),raw_unverified
Center for Alternative Sentencing,Support Organization,social_facility,,,,,,,Program Intake Coordinator,8.6,OpenStreetMap (Overpass),raw_unverified
Dermatology & Dermatologic Surgery,Medical,doctor,254 Lincoln Place,,+1-718-636-0425,,,,Pediatric Intake Coordinator,8.61,OpenStreetMap (Overpass),raw_unverified
Brooklyn High School of the Arts,School,school,,,+1-718-855-2412,,,,School Social Worker,8.61,OpenStreetMap (Overpass),raw_unverified
AHF Healthcare Center,Medical,clinic,,,+1-718-369-4850,,https://locations.hivcare.org/ny-brooklyn-hcc71,,Pediatric Intake Coordinator,8.61,OpenStreetMap (Overpass),raw_unverified
Chinatown Community Fridge & Pantry,Support Organization,social_facility,96 Baxter Street,New York,,,,,Program Intake Coordinator,8.61,OpenStreetMap (Overpass),raw_unverified
P.S. 369 Coy L. Cox School,School,school,,,,,,,School Social Worker,8.61,OpenStreetMap (Overpass),raw_unverified
Harry S. Truman High School,School,school,,,,,,,School Social Worker,8.61,OpenStreetMap (Overpass),raw_unverified
MS 447,School,school,,,+1-718-330-9328,,https://ms447.org/,,School Social Worker,8.62,OpenStreetMap (Overpass),raw_unverified
Imani House,Support Organization,social_facility,76A 5th Avenue,,+1 718 638 2059,,https://www.imanihouse.org,,Program Intake Coordinator,8.62,OpenStreetMap (Overpass),raw_unverified
CityMD,Medical,clinic,,,+1-718-530-1144,,https://www.citymd.com/urgent-care-locations/ny/brooklyn/boerum-hill/009,,Pediatric Intake Coordinator,8.62,OpenStreetMap (Overpass),raw_unverified
"Elizabeth Schwartzburt, MD",Medical,doctors,,,,,,,Pediatric Intake Coordinator,8.62,OpenStreetMap (Overpass),raw_unverified
"Arlene M. Garcia, MD",Medical,doctors,,,,,,,Pediatric Intake Coordinator,8.62,OpenStreetMap (Overpass),raw_unverified
Intermed Care PC,Medical,clinic,375 Jay Street,Brooklyn,+1-718-254-9650,,,,Pediatric Intake Coordinator,8.62,OpenStreetMap (Overpass),raw_unverified
Brooklyn Preschool of Science,School,kindergarten,,,+1-718-622-1203,,https://brooklynpreschoolofscience.com,,School Social Worker,8.62,OpenStreetMap (Overpass),raw_unverified
George Washington High School,School,school,,,,,,,School Social Worker,8.62,OpenStreetMap (Overpass),raw_unverified
The Learning Experience,School,kindergarten,472 Atlantic Avenue,,,,https://thelearningexperience.com/center/brooklyn-atlantic-ave/,,School Social Worker,8.63,OpenStreetMap (Overpass),raw_unverified
Transfiguration Roman Catholic School,School,school,29 Mott Street,,,,,,School Social Worker,8.63,OpenStreetMap (Overpass),raw_unverified
Advantagecare Physicians,Medical,clinic,,,,,,,Pediatric Intake Coordinator,8.63,OpenStreetMap (Overpass),raw_unverified
